Distance,RPM,In / Out,Location
75,3400,Out,Short
75,3400,Out,Short
82,3400,Out,Short
82,3400,Out,Short
90,3400,Out,Short
90,3450,Out,Short
90,3450,Out,Short
90,3500,Out,Short
101,3400,In,Center
101,3400,In,Hit Back Rim
101,3400,In,Hit Back Rim
101,3400,Out,Hit Front Rim
101,3400,Out,Near Back Rim
101,3525,In,Center
101,3525,In,Center
101,3525,In,Center
101,3525,in,Center
101,3525,In,Hit Back Rim
101,3525,In,Hit Back Rim
101,3525,Out,Long
101,3525,Out,Long
101,3525,Out,Long
106.5,3000,Out,Short
106.5,3500,Out,Hit Front Rim
106.5,3550,In,Center
106.5,3550,In,Center
106.5,3550,In,Center
106.5,3590,Out,Hit Front Rim
106.5,3590,Out,Long
106.5,3600,Out,Long
106.5,3600,Out,Long
106.5,4000,Out,Long
111.5,3450,In,Center
111.5,3450,In,Center
111.5,3450,In,Center
111.5,3450,In,Center
111.5,3450,In,Center
111.5,3450,In,Center
111.5,3450,In,Center
111.5,3450,In,Hit Back Rim
111.5,3450,In,Center
111.5,3450,Out,Fr Rim
111.5,3450,Out,Fr Rim
111.5,3500,In,Center
111.5,3500,In,Center
111.5,3500,In,Hit Back Rim
111.5,3500,In,Center
111.5,3500,Out,Long
111.5,3500,Out,Near Back Rim
111.5,3550,in,Center
111.5,3550,In,Center
111.5,3550,In,Center
111.5,3550,In,Center
111.5,3550,In,Center
111.5,3550,Out,Fr Rim
111.5,3550,Out,Long
111.5,3550,Out,Near Back Rim
111.5,3600,In,Center
111.5,3600,In,Hit Back Rim
111.5,3600,In,Center
111.5,3600,In,Hit Back Rim
111.5,3600,In,Center
111.5,3600,Out,Near Back Rim
111.5,3600,Out,Long
119.7,3500,In,Center
119.7,3500,In,Center
119.7,3500,In,Center
119.7,3500,In,Hit Back Rim
119.7,3500,In,Center
119.7,3650,In,Center
119.7,3650,In,Center
119.7,3650,In,Center
119.7,3700,In,Hit Back Rim
119.7,3700,Out,Long
121.5,3550,In,Center
121.5,3550,in,Hit Back Rim
121.5,3550,In,Center
128.5,3400,In,Center
128.5,3400,In,Center
128.5,3400,In,Center
128.5,3400,In,Center
128.5,3400,Out,Hit Front Rim
128.5,3400,Out,Hit Front Rim
128.5,3450,In,Center
128.5,3450,In,Center
128.5,3450,In,Center
128.5,3450,In,Center
128.5,3450,In,Center
128.5,3500,In,Center
128.5,3500,In,Hit Back Rim
128.5,3500,In,Center
128.5,3500,In,Hit Back Rim
128.5,3500,In,Center
128.5,3600,In,Center
128.5,3600,In,Center
128.5,3600,In,Center
128.5,3700,In,Hit Back Rim
128.5,3700,Out,Near Back Rim
128.5,3750,Out,Long
129.5,3500,In,Center
129.5,3500,In,Center
129.5,3500,In,Center
129.5,3500,Out,Hit Front Rim
129.5,3500,Out,Hit Front Rim
129.5,3600,In,Center
129.5,3600,In,Center
129.5,3600,In,Center
129.5,3650,In,Center
129.5,3650,In,Center
129.5,3700,In,Hit Back Rim
129.5,3700,In,Hit Back Rim
129.5,3700,In,Hit Back Rim
129.5,3750,In,Hit Back Rim
129.5,3750,Out,Near Back Rim
129.5,3800,In,Hit Back Rim
129.5,3800,In,Hit Back Rim
129.5,3800,Out,Long
132,3550,In,Center
132,3550,Out,Hit Front Rim
132,3550,Out,Hit Front Rim
137,3400,In,Center
137,3400,Out,Hit Front Rim
137,3400,Out,Hit Front Rim
137,3450,In,Center
137,3450,In,Center
137,3450,In,Center
137,3450,In,Center
137,3500,In,Center
137,3500,In,Center
137,3500,In,Center
137,3600,In,Center
137,3600,In,Hit Back Rim
137,3600,In,Hit Back Rim
137,3600,In,Center
137,3650,In,Center
137,3650,In,Center
137,3650,In,Center
137,3700,In,Hit Back Rim
137,3700,Out,Near Back Rim
137,3700,Out,Near Back Rim
142.3,3400,Out,Short
142.3,3400,Out,Short
142.3,3500,In,Center
142.3,3500,In,Center
142.3,3600,In,Near Front Rim
142.3,3600,In,Near Front Rim
142.3,3600,In,Center
142.3,3600,In,Center
142.3,3700,In,Center
142.3,3700,In,Center
142.3,3700,In,Center
142.3,3800,In,Hit Back Rim
142.3,3800,In,Hit Back Rim
142.3,3900,In,Hit Back Rim
142.3,3900,Out,Long
148.5,3504,In,Center
148.5,3504,In,Center
148.5,3504,In,Near Front Rim
148.5,3504,Out,Short
148.5,3504,Out,Hit Front Rim
148.5,3550,In,Center
148.5,3550,In,Center
148.5,3550,In,Center
148.5,3600,In,Center
148.5,3600,In,Center
148.5,3750,In,Center
148.5,3750,In,Center
148.5,3750,Out,Hit Front Rim
148.5,3800,In,Center
148.5,3800,In,Hit Back Rim
148.5,3800,In,Center
154,3700,In,Center
154,3700,In,Center
154,3700,In,Center
154,3700,In,Center
154,3700,Out,Near Back Rim
154,3900,In,Hit Back Rim
154,3900,Out,Long
154,3900,Out,Long
154.1,3600,In,Center
