Velocity (RPM) - Plot 0	Voltage - Plot 0
0	0
0	0
141.211	0
141.211	5.61828
782.812	5.61828
782.812	5.61828
1604.3	5.61828
1604.3	5.61828
2038.18	5.61828
2038.18	6.3172
2032.03	6.3172
2032.03	3.96261
2026.76	3.96261
2026.76	3.96261
2023.54	3.96261
2023.54	3.96261
2025.88	3.96261
2025.88	3.96261
2028.81	3.96261
2028.81	3.96261
2027.93	3.96261
2027.93	3.96261
2028.52	3.96261
2028.52	3.96261
2028.52	3.96261
2028.52	3.96261
2025.88	3.96261
2025.88	3.96261
2027.64	3.96261
2027.64	3.96261
2025.59	3.96261
2025.59	3.96261
2028.81	3.96261
2028.81	3.97947
2029.69	3.97947
2029.69	3.97947
2028.52	3.97947
2028.52	3.97947
2027.93	3.97947
2027.93	3.97947
2025	3.97947
2025	3.96261
2023.83	3.96261
2023.83	3.96261
2026.17	3.96261
2026.17	3.96261
2028.22	3.96261
2028.22	3.96261
2028.52	3.96261
2028.52	3.96261
2030.27	3.96261
2030.27	3.95112
2029.69	3.95112
2029.69	3.95112
2030.86	3.95112
2030.86	3.95112
2030.86	3.95112
2030.86	3.95112
2031.45	3.96261
2031.45	3.96261
2029.69	3.96261
2029.69	3.96261
2027.64	3.96261
2027.64	3.96261
2029.98	3.96261
2029.98	3.96261
2031.15	3.96261
2031.15	3.96261
2029.98	3.96261
2029.98	3.96261
2029.69	3.96261
2029.69	3.96261
2029.69	3.96261
2029.69	3.96261
2027.64	3.96261
2027.64	3.95112
2031.15	3.95112
2031.15	3.95112
2031.15	3.95112
2028.81	3.95112
2028.81	3.95112
2031.15	3.95112
2031.15	3.95112
2031.45	3.9741
2031.45	3.9741
2033.5	3.9741
2033.5	3.9741
2033.5	3.9741
2033.5	3.9741
2035.25	3.99101
2035.25	3.99101
2032.32	3.97947
0	0
0	0
0	0
631.055	4.87654
631.055	4.87654
1425.29	4.87654
1425.29	4.87654
1425.29	4.87654
1855.66	4.87654
1855.66	5.55973
1857.71	5.55973
1857.71	3.64497
1855.96	3.64497
1855.96	3.64497
1852.44	3.64497
1852.44	3.64497
1851.86	3.64497
1851.86	3.64497
1853.91	3.64497
1853.91	3.64497
1853.61	3.64497
1853.61	3.64497
1854.2	3.64497
1854.2	3.64497
1854.79	3.64497
1854.79	3.64497
1855.66	3.64497
1855.66	3.63343
1855.96	3.63343
1855.96	3.63343
1856.84	3.63343
1856.84	3.63343
1855.96	3.63343
1855.96	3.63343
1855.96	3.63343
1855.96	3.64497
1854.79	3.64497
1854.79	3.64497
1811.13	3.64497
1811.13	3.64497
1740.53	3.64497
1740.53	3.66041
1696	3.66041
1696	3.3129
1685.74	3.3129
